           x [mm]           y [mm]           z [mm]       SAR [W/kg]
--------------------------------------------------------------------
             -127             -121               75                0
             -122             -121               75                0
             -117             -121               75                0
             -112             -121               75                0
             -107             -121               75                0
             -102             -121               75                0
              -97             -121               75                0
              -92             -121               75                0
              -87             -121               75                0
              -82             -121               75                0
              -77             -121               75                0
              -72             -121               75                0
              -67             -121               75                0
              -62             -121               75                0
              -57             -121               75                0
              -52             -121               75                0
              -47             -121               75                0
              -42             -121               75                0
              -37             -121               75                0
              -32             -121               75                0
              -27             -121               75                0
              -22             -121               75                0
              -17             -121               75                0
              -12             -121               75                0
               -7             -121               75                0
               -2             -121               75                0
                3             -121               75                0
                8             -121               75                0
               13             -121               75                0
               18             -121               75                0
               23             -121               75                0
               28             -121               75                0
               33             -121               75                0
               38             -121               75                0
               43             -121               75                0
               48             -121               75                0
               53             -121               75                0
               58             -121               75                0
               63             -121               75                0
               68             -121               75                0
               73             -121               75                0
               78             -121               75                0
               83             -121               75                0
               88             -121               75                0
               93             -121               75                0
               98             -121               75                0
              103             -121               75                0
              108             -121               75                0
              113             -121               75                0
              118             -121               75                0
              123             -121               75                0
             -127             -116               75                0
             -122             -116               75                0
             -117             -116               75                0
             -112             -116               75                0
             -107             -116               75                0
             -102             -116               75                0
              -97             -116               75                0
              -92             -116               75                0
              -87             -116               75                0
              -82             -116               75                0
              -77             -116               75                0
              -72             -116               75                0
              -67             -116               75                0
              -62             -116               75                0
              -57             -116               75                0
              -52             -116               75                0
              -47             -116               75                0
              -42             -116               75                0
              -37             -116               75                0
              -32             -116               75                0
              -27             -116               75                0
              -22             -116               75                0
              -17             -116               75                0
              -12             -116               75                0
               -7             -116               75                0
               -2             -116               75                0
                3             -116               75                0
                8             -116               75                0
               13             -116               75                0
               18             -116               75                0
               23             -116               75                0
               28             -116               75                0
               33             -116               75                0
               38             -116               75                0
               43             -116               75                0
               48             -116               75                0
               53             -116               75                0
               58             -116               75                0
               63             -116               75                0
               68             -116               75                0
               73             -116               75                0
               78             -116               75                0
               83             -116               75                0
               88             -116               75                0
               93             -116               75                0
               98             -116               75                0
              103             -116               75                0
              108             -116               75                0
              113             -116               75                0
              118             -116               75                0
              123             -116               75                0
             -127             -111               75                0
             -122             -111               75                0
             -117             -111               75                0
             -112             -111               75                0
             -107             -111               75                0
             -102             -111               75                0
              -97             -111               75                0
              -92             -111               75                0
              -87             -111               75                0
              -82             -111               75                0
              -77             -111               75                0
              -72             -111               75                0
              -67             -111               75                0
              -62             -111               75                0
              -57             -111               75                0
              -52             -111               75                0
              -47             -111               75                0
              -42             -111               75                0
              -37             -111               75                0
              -32             -111               75                0
              -27             -111               75                0
              -22             -111               75                0
              -17             -111               75                0
              -12             -111               75                0
               -7             -111               75                0
               -2             -111               75                0
                3             -111               75                0
                8             -111               75                0
               13             -111               75                0
               18             -111               75                0
               23             -111               75                0
               28             -111               75                0
               33             -111               75                0
               38             -111               75                0
               43             -111               75                0
               48             -111               75                0
               53             -111               75                0
               58             -111               75                0
               63             -111               75                0
               68             -111               75                0
               73             -111               75                0
               78             -111               75                0
               83             -111               75                0
               88             -111               75                0
               93             -111               75                0
               98             -111               75                0
              103             -111               75                0
              108             -111               75                0
              113             -111               75                0
              118             -111               75                0
              123             -111               75                0
             -127             -106               75                0
             -122             -106               75                0
             -117             -106               75                0
             -112             -106               75                0
             -107             -106               75                0
             -102             -106               75                0
              -97             -106               75                0
              -92             -106               75                0
              -87             -106               75                0
              -82             -106               75                0
              -77             -106               75                0
              -72             -106               75                0
              -67             -106               75                0
              -62             -106               75                0
              -57             -106               75                0
              -52             -106               75                0
              -47             -106               75                0
              -42             -106               75                0
              -37             -106               75                0
              -32             -106               75                0
              -27             -106               75                0
              -22             -106               75                0
              -17             -106               75                0
              -12             -106               75                0
               -7             -106               75                0
               -2             -106               75                0
                3             -106               75                0
                8             -106               75                0
               13             -106               75                0
               18             -106               75                0
               23             -106               75                0
               28             -106               75                0
               33             -106               75                0
               38             -106               75                0
               43             -106               75                0
               48             -106               75                0
               53             -106               75                0
               58             -106               75                0
               63             -106               75                0
               68             -106               75                0
               73             -106               75                0
               78             -106               75                0
               83             -106               75                0
               88             -106               75                0
               93             -106               75                0
               98             -106               75                0
              103             -106               75                0
              108             -106               75                0
              113             -106               75                0
              118             -106               75                0
              123             -106               75                0
             -127             -101               75                0
             -122             -101               75                0
             -117             -101               75                0
             -112             -101               75                0
             -107             -101               75                0
             -102             -101               75                0
              -97             -101               75                0
              -92             -101               75                0
              -87             -101               75                0
              -82             -101               75                0
              -77             -101               75                0
              -72             -101               75                0
              -67             -101               75                0
              -62             -101               75                0
              -57             -101               75                0
              -52             -101               75                0
              -47             -101               75                0
              -42             -101               75                0
              -37             -101               75                0
              -32             -101               75                0
              -27             -101               75                0
              -22             -101               75                0
              -17             -101               75                0
              -12             -101               75                0
               -7             -101               75                0
               -2             -101               75                0
                3             -101               75                0
                8             -101               75                0
               13             -101               75                0
               18             -101               75                0
               23             -101               75                0
               28             -101               75                0
               33             -101               75                0
               38             -101               75                0
               43             -101               75                0
               48             -101               75                0
               53             -101               75                0
               58             -101               75                0
               63             -101               75                0
               68             -101               75                0
               73             -101               75                0
               78             -101               75                0
               83             -101               75                0
               88             -101               75                0
               93             -101               75                0
               98             -101               75                0
              103             -101               75                0
              108             -101               75                0
              113             -101               75                0
              118             -101               75                0
              123             -101               75                0
             -127              -96               75                0
             -122              -96               75                0
             -117              -96               75                0
             -112              -96               75                0
             -107              -96               75                0
             -102              -96               75                0
              -97              -96               75                0
              -92              -96               75                0
              -87              -96               75                0
              -82              -96               75                0
              -77              -96               75                0
              -72              -96               75                0
              -67              -96               75                0
              -62              -96               75                0
              -57              -96               75                0
              -52              -96               75                0
              -47              -96               75                0
              -42              -96               75                0
              -37              -96               75                0
              -32              -96               75                0
              -27              -96               75                0
              -22              -96               75      0.010958903
              -17              -96               75     0.0098734675
              -12              -96               75     0.0079511283
               -7              -96               75      0.006161191
               -2              -96               75     0.0042432658
                3              -96               75     0.0040671653
                8              -96               75     0.0053875525
               13              -96               75     0.0070774239
               18              -96               75     0.0077283313
               23              -96               75                0
               28              -96               75                0
               33              -96               75                0
               38              -96               75                0
               43              -96               75                0
               48              -96               75                0
               53              -96               75                0
               58              -96               75                0
               63              -96               75                0
               68              -96               75                0
               73              -96               75                0
               78              -96               75                0
               83              -96               75                0
               88              -96               75                0
               93              -96               75                0
               98              -96               75                0
              103              -96               75                0
              108              -96               75                0
              113              -96               75                0
              118              -96               75                0
              123              -96               75                0
             -127              -91               75                0
             -122              -91               75                0
             -117              -91               75                0
             -112              -91               75                0
             -107              -91               75                0
             -102              -91               75                0
              -97              -91               75                0
              -92              -91               75                0
              -87              -91               75                0
              -82              -91               75                0
              -77              -91               75                0
              -72              -91               75                0
              -67              -91               75                0
              -62              -91               75                0
              -57              -91               75                0
              -52              -91               75                0
              -47              -91               75                0
              -42              -91               75                0
              -37              -91               75                0
              -32              -91               75      0.017988387
              -27              -91               75      0.017980376
              -22              -91               75      0.017933004
              -17              -91               75      0.015502255
              -12              -91               75      0.013006818
               -7              -91               75      0.010270154
               -2              -91               75     0.0074221077
                3              -91               75     0.0065094959
                8              -91               75     0.0087145492
               13              -91               75      0.011374652
               18              -91               75      0.013227658
               23              -91               75      0.013480193
               28              -91               75      0.013501965
               33              -91               75                0
               38              -91               75                0
               43              -91               75                0
               48              -91               75                0
               53              -91               75                0
               58              -91               75                0
               63              -91               75                0
               68              -91               75                0
               73              -91               75                0
               78              -91               75                0
               83              -91               75                0
               88              -91               75                0
               93              -91               75                0
               98              -91               75                0
              103              -91               75                0
              108              -91               75                0
              113              -91               75                0
              118              -91               75                0
              123              -91               75                0
             -127              -86               75                0
             -122              -86               75                0
             -117              -86               75                0
             -112              -86               75                0
             -107              -86               75                0
             -102              -86               75                0
              -97              -86               75                0
              -92              -86               75                0
              -87              -86               75                0
              -82              -86               75                0
              -77              -86               75                0
              -72              -86               75                0
              -67              -86               75                0
              -62              -86               75                0
              -57              -86               75                0
              -52              -86               75                0
              -47              -86               75                0
              -42              -86               75      0.027575715
              -37              -86               75      0.027590863
              -32              -86               75      0.027317889
              -27              -86               75      0.022840317
              -22              -86               75      0.010967126
              -17              -86               75     0.0072163306
              -12              -86               75     0.0050375233
               -7              -86               75     0.0031344171
               -2              -86               75     0.0023030988
                3              -86               75     0.0022704005
                8              -86               75     0.0031159194
               13              -86               75     0.0045617521
               18              -86               75     0.0076208888
               23              -86               75      0.016503589
               28              -86               75      0.019685205
               33              -86               75      0.019685205
               38              -86               75      0.019562464
               43              -86               75                0
               48              -86               75                0
               53              -86               75                0
               58              -86               75                0
               63              -86               75                0
               68              -86               75                0
               73              -86               75                0
               78              -86               75                0
               83              -86               75                0
               88              -86               75                0
               93              -86               75                0
               98              -86               75                0
              103              -86               75                0
              108              -86               75                0
              113              -86               75                0
              118              -86               75                0
              123              -86               75                0
             -127              -81               75                0
             -122              -81               75                0
             -117              -81               75                0
             -112              -81               75                0
             -107              -81               75                0
             -102              -81               75                0
              -97              -81               75                0
              -92              -81               75                0
              -87              -81               75                0
              -82              -81               75                0
              -77              -81               75                0
              -72              -81               75                0
              -67              -81               75                0
              -62              -81               75                0
              -57              -81               75                0
              -52              -81               75                0
              -47              -81               75      0.039799806
              -42              -81               75      0.041656807
              -37              -81               75      0.035680607
              -32              -81               75      0.018536322
              -27              -81               75      0.017077912
              -22              -81               75      0.014564291
              -17              -81               75      0.011937412
              -12              -81               75     0.0086278282
               -7              -81               75     0.0054727662
               -2              -81               75     0.0039701289
                3              -81               75     0.0038949333
                8              -81               75     0.0052115731
               13              -81               75     0.0075211218
               18              -81               75      0.010045871
               23              -81               75      0.012556519
               28              -81               75      0.014883168
               33              -81               75      0.026447266
               38              -81               75      0.030940104
               43              -81               75      0.029476941
               48              -81               75                0
               53              -81               75                0
               58              -81               75                0
               63              -81               75                0
               68              -81               75                0
               73              -81               75                0
               78              -81               75                0
               83              -81               75                0
               88              -81               75                0
               93              -81               75                0
               98              -81               75                0
              103              -81               75                0
              108              -81               75                0
              113              -81               75                0
              118              -81               75                0
              123              -81               75                0
             -127              -76               75                0
             -122              -76               75                0
             -117              -76               75                0
             -112              -76               75                0
             -107              -76               75                0
             -102              -76               75                0
              -97              -76               75                0
              -92              -76               75                0
              -87              -76               75                0
              -82              -76               75                0
              -77              -76               75                0
              -72              -76               75                0
              -67              -76               75                0
              -62              -76               75                0
              -57              -76               75                0
              -52              -76               75      0.052845202
              -47              -76               75      0.059058785
              -42              -76               75      0.038468916
              -37              -76               75      0.028138135
              -32              -76               75      0.029156402
